"countries","West Nile Virus","Dengue","Rabies","Tuberculosis","Respiratory Illness","Meningitis","Not Yet Classified","Poisoning","Pests","Measles","Listeriosis","Legionnaires'","Pneumonia","Influenza","BSE","Swine Flu H1N1","Gastroenteritis","Other Plant Disease","Malaria","Cholera","St. Louis Encephalitis","Diarrhea","Yellow Fever","Melioidosis","Other Human Disease","Avian Influenza","HIV/AIDS","Undiagnosed","Leptospirosis","Hantavirus","Whooping Cough","Trichinosis","E. coli","Equine Influenza","Fever","Polio","Lassa Fever","Norovirus","Salmonella","Coronavirus","Schmallenberg","Typhoid","SARS","Bovine TB","Toxoplasmosis","C. difficile","Anthrax","CJD","Bovine Pleuropneumonia","Waterborne Illness","Babesiosis","MRSA","Mycobacteria, non-TB","Lyme Disease","Parvovirus","Other Animal Disease","Valley Fever","Campylobacter","Botulism","Hand, Foot and Mouth Disease","Syphilis","Hepatitis A","Otitis media","Chicken Pox","Cryptosporidium","Swine Flu H3N2","Fungal Meningitis","Encephalitis","Aspergillosis","Eastern Equine Encephalitis","White nose syndrome","Gonorrhea","HFM-CoxsackieA","Antibiotic resistance","Epizootic Hemorrhagic Disease","Foodborne Illness","Foot and Mouth","Hepatitis C","Hepatitis","Tick-borne disease","Hepatitis E","Marburg Fever","Ebola","Nipah/Hendra Virus","Chronic/Non-Infectious Disease","Animal Die-off","Food-related toxin","Plague","Sexually Transmitted Infection","African Swine Fever","Algae","Mumps","Bacterial Meningitis","Meningitis - Neisseria","Chagas","Hospital-Related Infection","Vibrio, noncholera","Tick-borne Encephalitis","Environmental","Chikungunya","Equine Herpes Virus","Dysentery","Canine Influenza","null","Scabies","Newcastle Disease","Classical Swine Fever","Canine distemper","HFM-Enterovirus71","Enterovirus","Bluetongue","Brucellosis","Lice","Conjunctivitis","Blastomycosis","P. aeruginosa","Equine Infectious Anemia","Diphtheria","Hepatitis B","Leprosy","Scrub Typhus","Chronic Wasting Disease","Arenavirus","Japanese Encephalitis","Peste des petits ruminants","Protozoa, miscellaneous","Rocky Mountain Spotted Fever","Vaccine Complication","Shingles","Tularemia","Staph","Human Bocavirus","Vibrio vulnificus","Monkeypox","Hemorrhagic Fever","Bronchitis/Bronchiolitis","Vibrio parahaemolyticus","Echinococcosis","Amoeba","Tetanus","Vesicular Stomatitis","Trypanosomiasis","Leishmaniasis","Lumpy Skin Disease","Rift Valley Fever","Shigellosis","Guinea Worm","Feline panleukopenia virus","Ringworm","Blue Ear","Avian Cholera","Onchocerciasis","Herpes","Sheep/Goat Pox","Strep","Histoplasmosis","Viral Meningitis","Crimean-Congo Hemorrhagic Fever","Psittacosis","Schistosomiasis","Rash","Free Living Amoeba","Amebiasis","Cold","Typhus","Rickettsia","Rubella","Ross River Virus","Filariasis","Myiasis","Enterococcus","Sepsis","Paralytic Shellfish Poisoning","Rotavirus","Scarlet Fever","Bartonella","La Crosse Encephalitis","Acinetobacter baumannii"
"Tunisia",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",178,1230,14,10,8,10,1,24,3,0,0,0,3,21,0,14,3,1,3,23,0,41,0,0,4,126,0,0,0,0,0,0,13,3,4,0,0,0,16,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,2,7,0,0,0,0,0,0,0,0,0,0,0,15,0,3,18,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,9,3,0,1,32,2,6,2,6,13,42,6,6,16,3,6,2,3,4,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",9,31,7,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",0,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",0,30,16,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,4,8,3,3,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,21,4,0,3,37,0,9,0,0,0,0,3,48,0,286,6,3,3,0,0,0,2,0,4,0,0,0,0,64,12,39,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",0,0,21,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,107,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,590,20,30,0,115,1,6,3,0,0,0,6,42,0,363,0,3,9,0,0,9,17,0,3,0,0,0,7,15,3,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,46,0,35,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,19,0,8,10,11,5,6,0,64,0,41,3,3,0,0,12,11,6,3,0,0,0,0,7,0,0,20,0,2,99,0,119,0,0,0,0,101,17,75,33,3,24,8,3,2,50,10,0,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,16,2,0,0,0,9,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,0,6,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
