country	disease	DISEASE_COUNT
Afghanistan	Polio	3
Afghanistan	Crimean-Congo Hemorrhagic Fever	2
Albania	Rabies	3
Albania	Malaria	1
Albania	Respiratory Illness	1
Algeria	Gastroenteritis	7
Algeria	Foodborne Illness	5
Algeria	West Nile Virus	2
Algeria	HIV/AIDS	1
Algeria	Malaria	1
Angola	Measles	18
Angola	Cholera	5
Angola	Peste des petits ruminants	4
Angola	Diarrhea	2
Angola	Dengue	1
Angola	Gastroenteritis	1
Angola	Malaria	1
Angola	Polio	1
Angola	Rabies	1
Angola	Tuberculosis	1
Angola	Typhoid	1
Argentina	Swine Flu H1N1	100
Argentina	Hantavirus	21
Argentina	Influenza	17
Argentina	Trichinosis	13
Argentina	Meningitis	12
Argentina	Dengue	7
Argentina	Hemorrhagic Fever	7
Argentina	Whooping Cough	4
Argentina	Poisoning	3
Argentina	Gastroenteritis	2
Argentina	Rabies	2
Argentina	Anthrax	1
Argentina	Bronchitis/Bronchiolitis	1
Argentina	Brucellosis	1
Argentina	CJD	1
Argentina	Chagas	1
Argentina	E. coli	1
Argentina	Echinococcosis	1
Argentina	Equine Influenza	1
Argentina	Fever	1
Argentina	Hepatitis A	1
Argentina	Malaria	1
Argentina	Other Human Disease	1
Argentina	Other Plant Disease	1
Argentina	Pneumonia	1
Argentina	Respiratory Illness	1
Argentina	Syphilis	1
Argentina	Tetanus	1
Argentina	Yellow Fever	1
Armenia	Anthrax	8
Armenia	Chicken Pox	1
Australia	Influenza	20
Australia	Measles	7
Australia	HIV/AIDS	6
Australia	Other Animal Disease	6
Australia	Nipah/Hendra Virus	4
Australia	Norovirus	4
Australia	Pests	4
Australia	Tuberculosis	4
Australia	Gastroenteritis	3
Australia	Hepatitis	3
Australia	Scabies	3
Australia	Other Plant Disease	2
Australia	Parvovirus	2
Australia	Salmonella	2
Australia	Syphilis	2
Australia	Tularemia	2
Australia	Algae	1
Australia	Animal Die-off	1
Australia	Avian Influenza	1
Australia	Canine distemper	1
Australia	Chicken Pox	1
Australia	Chronic/Non-Infectious Disease	1
Australia	Dengue	1
Australia	Environmental	1
Australia	Gonorrhea	1
Australia	Listeriosis	1
Australia	Melioidosis	1
Australia	Respiratory Illness	1
Australia	Ross River Virus	1
Australia	Shingles	1
Australia	Swine Flu H1N1	1
Australia	Tick-borne disease	1
Australia	Typhoid	1
Australia	Vaccine Complication	1
Austria	Salmonella	4
Austria	Schmallenberg	1
Austria	West Nile Virus	1
Azerbaijan	Anthrax	3
Azerbaijan	Gastroenteritis	1
Azerbaijan	Tuberculosis	1
Bahrain	Other Animal Disease	1
Bahrain	Pneumonia	1
Bangladesh	Cholera	1
Bangladesh	Influenza	1
Bangladesh	Other Plant Disease	1
Barbados	Dengue	1
Belarus	HIV/AIDS	1
Belarus	Influenza	1
Belgium	Salmonella	5
Belgium	Equine Infectious Anemia	2
Belgium	Melioidosis	2
Belgium	Environmental	1
Belgium	Food-related toxin	1
Belgium	Foodborne Illness	1
Belgium	Gastroenteritis	1
Belgium	Legionnaires'	1
Belgium	Leptospirosis	1
Belgium	Schmallenberg	1
Belgium	West Nile Virus	1
Benin	Cholera	2
Benin	Foodborne Illness	1
Benin	Gastroenteritis	1
Benin	Malaria	1
Bhutan	Anthrax	3
Bhutan	Avian Influenza	2
Bhutan	Chikungunya	2
Bhutan	Hepatitis B	2
Bhutan	Rabies	2
Bhutan	Dengue	1
Bhutan	Foot and Mouth	1
Bhutan	Influenza	1
Bolivia	Dengue	10
Bolivia	Swine Flu H1N1	4
Bolivia	Influenza	3
Bolivia	Rabies	3
Bolivia	West Nile Virus	3
Bolivia	Brucellosis	1
Bolivia	Chagas	1
Bolivia	Diarrhea	1
Bolivia	Foot and Mouth	1
Bolivia	Malaria	1
Bolivia	St. Louis Encephalitis	1
Bolivia	Yellow Fever	1
Brazil	Dengue	197
Brazil	Swine Flu H1N1	112
Brazil	Meningitis	35
Brazil	Chicken Pox	17
Brazil	Influenza	15
Brazil	Swine Flu H3N2	12
Brazil	Tuberculosis	11
Brazil	Rabies	10
Brazil	Fever	8
Brazil	Rocky Mountain Spotted Fever	8
Brazil	Chagas	7
Brazil	Yellow Fever	6
Brazil	Hantavirus	5
Brazil	Diarrhea	3
Brazil	Malaria	3
Brazil	Salmonella	3
Brazil	Antibiotic resistance	2
Brazil	Botulism	2
Brazil	Foodborne Illness	2
Brazil	Leptospirosis	2
Brazil	Other Plant Disease	2
Brazil	Pneumonia	2
Brazil	Poisoning	2
Brazil	Conjunctivitis	1
