country	AVG_RATING	NUM_OUTBREAKS
Afghanistan	3.0	5
Albania	2.6	5
Algeria	2.4375	16
Angola	3.1607142857142856	28
Argentina	2.931043256997455	131
Armenia	3.357142857142857	7
Australia	2.6728395061728394	81
Austria	2.8	5
Azerbaijan	3.125	4
Bahrain	2.0	2
Bangladesh	3.0	3
Barbados	3.0	1
Belarus	1.0	2
Belgium	2.8	15
Benin	2.875	4
Bhutan	3.0	11
Bolivia	2.88	25
Brazil	2.9635538586927477	216
Bulgaria	2.5	2
Burkina Faso	4.0	1
Burundi	5.0	1
Cambodia	2.6842105263157894	19
Cameroon	3.1666666666666665	3
Canada	2.607201646090535	243
Cape Verde	3.5	2
Central African Republic	3.0	1
Chad	3.2	5
Chile	2.9204545454545454	44
China	2.8724862801130917	335
Colombia	3.011111111111111	45
Costa Rica	2.9523809523809526	21
Cote d'Ivoire	3.0	5
Croatia	3.0	5
Cuba	3.0435606060606064	44
Czech Republic	2.7142857142857144	7
DR Congo	3.542005420054201	82
Denmark	3.142857142857143	7
Dominican Republic	3.08640873015873	72
Ecuador	3.0	12
Egypt	2.789903846153846	104
El Salvador	3.0673076923076925	52
Estonia	3.2	5
Ethiopia	3.25	4
Fiji	2.3333333333333335	3
Finland	1.6666666666666667	3
France	2.736842105263158	57
Gambia	3.2	5
Germany	2.9350274725274725	52
Ghana	3.0	23
Greece	2.8125	28
Guatemala	3.1666666666666665	15
Guinea	3.7751851851851854	30
Guinea-Bissau	3.6666666666666665	3
Guyana	1.0	1
Haiti	3.4375	20
Honduras	2.949754901960784	68
Hungary	2.8333333333333335	6
Iceland	3.0	3
India	3.0331682604735883	244
Indonesia	2.92687074829932	35
Iran	2.659090909090909	4
Iraq	3.769230769230769	13
Ireland	2.25	16
Israel	2.760869565217391	23
Italy	3.0763888888888893	24
Jamaica	2.909090909090909	11
Japan	2.5130952380952385	20
Jordan	3.051282051282051	13
Kazakhstan	2.65	10
Kenya	2.9429824561403506	38
Kuwait	3.3333333333333335	3
Kyrgyzstan	3.0	6
Laos	3.0	1
Latvia	2.625	4
Lebanon	1.5	2
Liberia	3.5	1
Libya	3.0	1
Madagascar	2.625	8
Malawi	3.1666666666666665	6
Malaysia	2.9411764705882355	17
Mali	3.25	7
Malta	3.5	2
Marshall Islands	3.0	1
Mauritania	3.1666666666666665	9
Mauritius	3.0	1
Mexico	2.8088477947173596	253
Moldova	3.0	2
Mongolia	3.0	1
Morocco	2.727272727272727	11
Mozambique	3.0	1
Myanmar	3.0	8
Namibia	3.0	6
Nepal	3.0096153846153846	26
Netherlands	2.8600000000000003	20
New Zealand	2.6466666666666665	50
Nicaragua	2.9	10
Niger	3.625	4
Nigeria	3.14957264957265	39
Norway	2.7142857142857144	7
Oman	2.5	2
Pakistan	3.112980769230769	104
Palestinian Authority	2.9375	8
Panama	2.5714285714285716	14
Papua New Guinea	2.75	4
Paraguay	2.991869918699187	41
Peru	3.007142857142857	70
Philippines	2.854716981132076	53
Poland	2.6	5
Portugal	3.0708333333333337	20
Qatar	3.4166666666666665	13
Republic of Congo	3.892857142857143	14
Republic of Macedonia	3.1666666666666665	3
Romania	2.75	8
Russia	2.7188768654925863	229
Samoa	3.0	2
Sao Tome & Principe	3.0	2
Saudi Arabia	2.935	40
Serbia	2.8888888888888893	12
Sierra Leone	3.593567251461988	38
Singapore	2.25	8
Slovakia	3.0	2
Somalia	3.6	5
South Africa	2.9047619047619047	21
South Korea	2.8333333333333335	6
South Sudan	3.125	8
Spain	2.9768518518518516	54
Sri Lanka	2.638888888888889	18
Sudan	3.152173913043478	23
Swaziland	3.0	4
Sweden	3.0	4
Switzerland	2.772727272727273	11
Syria	3.0833333333333335	4
Tajikistan	3.0	1
Tanzania	2.84375	8
Thailand	2.933333333333333	30
The Bahamas	3.0	1
Trinidad & Tobago	3.0	5
Tunisia	2.897435897435898	13
Turkey	3.0	2
Uganda	3.3149939007861207	62
Ukraine	2.744252873563218	58
United Arab Emirates	2.769230769230769	13
United Kingdom	2.8437588652482266	235
United States	2.583962808142341	1221
Uruguay	3.0	6
Uzbekistan	2.0	2
Venezuela	2.935185185185185	54
Vietnam	2.978085177733065	71
Yemen	2.9	10
Zambia	3.066666666666667	15
Zimbabwe	2.8981481481481484	9
