country	place	DISEASE_COUNT
Afghanistan	Afghanistan	4
Afghanistan	Kabul, Afghanistan	1
Albania	Albania	2
Albania	Kukës, Kukës, Albania	3
Algeria	Algeria	2
Algeria	El Omaria, Médéa, Algeria	1
Algeria	Guelma, Guelma, Algeria	2
Algeria	Khemis El-Khechna, Boumerdes, Algeria	2
Algeria	Mostaganem, Mostaganem, Algeria	1
Algeria	Sakīkdah, Algeria	1
Algeria	Skikda, Skikda, Algeria	2
Algeria	Tiaret, Algeria	2
Algeria	Tizi Ouzou, Algeria	1
Algeria	Wilaya de Constantine, Algeria	1
Algeria	Wilaya de Ghardaïa, Algeria	1
Angola	Angola	8
Angola	Cabinda Province, Angola	3
Angola	Cabinda, Cabinda, Angola	1
Angola	Canjonja, Angola	2
Angola	Caxito, Bengo, Angola	1
Angola	Chibia, Huíla, Angola	6
Angola	Chicala, Angola	1
Angola	Cunene Province, Angola	1
Angola	Huambo Province, Angola	3
Angola	Londuimbali, Angola	1
Angola	Lubango, Huíla, Angola	1
Angola	Lucusse, Angola	2
Angola	Malanje Province, Angola	1
Angola	Menongue, Cuando Cubango, Angola	2
Angola	Província do Cuando Cubango, Cuando Cubango, Angola	1
Angola	Província do Moxico, Moxico, Angola	1
Angola	Soyo, Zaire, Angola	1
Argentina	Argentina	35
Argentina	Bahía Blanca, Buenos Aires Province, Argentina	1
Argentina	Berrotarán, Córdoba Province, Argentina	3
Argentina	Buchardo, Córdoba, Córdoba Province, Argentina	1
Argentina	Buenos Aires, Ciudad de Buenos Aires, Argentina	5
Argentina	Carrodilla - Mendoza, Mendoza Province, Argentina	1
Argentina	Casilda, Santa Fe Province, Argentina	2
Argentina	Catua, Salta Province, Argentina	1
Argentina	Cerro Catedral, Río Negro, Argentina	1
Argentina	Charata, Chaco, Argentina	1
Argentina	Corrientes, Corrientes, Argentina	10
Argentina	Córdoba, Córdoba Province, Argentina	1
Argentina	Córdoba, Córdoba, Argentina	1
Argentina	Departamento Alberdi, Santiago del Estero, Argentina	3
Argentina	Departamento Santo Tomé, Corrientes, Argentina	1
Argentina	El Cadillal - Tucumán Province, Argentina	1
Argentina	Esperanza, Santa Fe, Argentina	3
Argentina	Fiambala, Catamarca Province, Argentina	2
Argentina	Formosa, Formosa, Argentina	1
Argentina	General Alvear, Buenos Aires, Argentina	1
Argentina	General Roca, Río Negro Province, Argentina	1
Argentina	Gobernador Ing. Valentín Virasoro, Corrientes Province, Argentina	2
Argentina	Gualeguaychú, Entre Ríos, Argentina	1
Argentina	Guaymallén, Mendoza Province, Argentina	1
Argentina	Gálvez, Santa Fe Province, Argentina	1
Argentina	La Rioja, La Rioja, Argentina	1
Argentina	Luján, Mendoza Province, Argentina	2
Argentina	Maipú, Mendoza, Argentina	1
Argentina	Mburucuyá, Corrientes, Argentina	1
Argentina	Melipal - San Carlos de Bariloche, Río Negro Province, Argentina	2
Argentina	Mendoza, Mendoza, Argentina	1
Argentina	Monte Caseros, Corrientes, Argentina	1
Argentina	Olavarría, Buenos Aires Province, Argentina	1
Argentina	Orán, Salta, Argentina	1
Argentina	Pampita, San Juan Province, Argentina	2
Argentina	Paraná, Entre Ríos, Argentina	1
Argentina	Patagonia, Chubut, Argentina	1
Argentina	Posadas, Misiones, Argentina	1
Argentina	Provincia de Buenos Aires, Argentina	1
Argentina	Provincia de Catamarca, Argentina	5
Argentina	Provincia de Corrientes, Argentina	1
Argentina	Provincia de Córdoba, Argentina	2
Argentina	Provincia de Entre Ríos, Argentina	1
Argentina	Provincia de Formosa, Argentina	2
Argentina	Provincia de Jujuy, Argentina	1
Argentina	Provincia de Misiones, Argentina	5
Argentina	Provincia de Río Negro, Argentina	1
Argentina	Provincia de Salta, Argentina	1
Argentina	Provincia de Santa Fe, Argentina	6
Argentina	Provincia de Santiago del Estero, Argentina	1
Argentina	Provincia de Tierra del Fuego, Argentina	1
Argentina	Provincia de Tucumán, Argentina	20
Argentina	Provincia del Chaco, Argentina	1
Argentina	Pérez, Santa Fe, Argentina	2
Argentina	Rafaela, Santa Fe, Argentina	7
Argentina	Reconquista, Santa Fe, Argentina	3
Argentina	Roca, Mar del Plata, Buenos Aires Province, Argentina	1
