country	incidents	Population_2012	incident_percap
Marshall Islands	1	56.0	0.017857142857142856
Bhutan	11	750.0	0.014666666666666666
New Zealand	50	4461.0	0.011208249271463798
Samoa	2	185.0	0.010810810810810811
Iceland	3	328.0	0.009146341463414634
Honduras	68	7912.0	0.008594539939332659
El Salvador	52	6264.0	0.008301404853128991
Dominican Republic	72	10183.0	0.00707060787587155
Canada	243	34675.0	0.007007930785868781
Qatar	13	1939.0	0.006704486848891181
Sierra Leone	38	6126.0	0.006203068886712374
Paraguay	41	6683.0	0.006134969325153374
Malta	2	419.0	0.00477326968973747
Costa Rica	21	4794.0	0.004380475594493116
Jamaica	11	2761.0	0.00398406374501992
Cape Verde	2	505.0	0.0039603960396039604
Cuba	44	11249.0	0.003911458796337452
United States	1221	315791.0	0.003866481312006992
Panama	14	3625.0	0.0038620689655172414
United Kingdom	235	62798.0	0.003742157393547565
Estonia	5	1340.0	0.0037313432835820895
Barbados	1	275.0	0.0036363636363636364
Australia	81	22919.0	0.0035341856101924166
Ireland	16	4579.0	0.003494212710198733
Fiji	3	876.0	0.003424657534246575
Swaziland	4	1220.0	0.003278688524590164
Argentina	131	41119.0	0.0031858751428779884
Israel	23	7695.0	0.0029889538661468486
Guinea	30	10481.0	0.0028623222974906975
Gambia	5	1825.0	0.0027397260273972603
Namibia	6	2364.0	0.0025380710659898475
Chile	44	17423.0	0.0025253974631234575
Mauritania	9	3623.0	0.0024841291747170853
Greece	28	11419.0	0.0024520535948857167
Bolivia	25	10248.0	0.0024395003903200626
Peru	70	29734.0	0.0023542073047689515
Armenia	7	3109.0	0.002251527822450949
Mexico	253	116147.0	0.0021782740837042714
Jordan	13	6457.0	0.0020133188787362553
Haiti	20	10256.0	0.0019500780031201249
Guinea-Bissau	3	1580.0	0.0018987341772151898
Portugal	20	10699.0	0.001869333582577811
Venezuela	54	29891.0	0.0018065638486500953
Latvia	4	2235.0	0.0017897091722595079
Uruguay	6	3391.0	0.0017693895606015924
Uganda	62	35621.0	0.0017405463069537631
Nicaragua	10	5955.0	0.0016792611251049538
Russia	229	142703.0	0.0016047315052942124
United Arab Emirates	13	8106.0	0.0016037503084135208
Albania	5	3227.0	0.0015494267121165168
Singapore	8	5256.0	0.0015220700152207
Bahrain	2	1359.0	0.0014716703458425313
Switzerland	11	7734.0	0.0014222911817946729
Norway	7	4960.0	0.001411290322580645
Saudi Arabia	40	28705.0	0.0013934854554955582
Belgium	15	10788.0	0.0013904338153503894
Angola	28	20163.0	0.0013886822397460696
Guyana	1	758.0	0.0013192612137203166
Cambodia	19	14478.0	0.0013123359580052493
Ukraine	58	44940.0	0.001290609701824655
Denmark	7	5593.0	0.0012515644555694619
Egypt	104	83958.0	0.0012387145953929345
Serbia	12	9847.0	0.0012186452726718798
Tunisia	13	10705.0	0.0012143858010275571
Netherlands	20	16714.0	0.0011966016513102788
Spain	54	46772.0	0.0011545369024202514
Croatia	5	4387.0	0.0011397310234784591
Kyrgyzstan	6	5448.0	0.0011013215859030838
Brazil	216	198361.0	0.0010889237299670802
Zambia	15	13884.0	0.00108038029386344
Kuwait	3	2892.0	0.001037344398340249
Guatemala	15	15138.0	0.0009908838684106222
Colombia	45	47551.0	0.0009463523374902736
Ghana	23	25546.0	0.0009003366476160651
France	57	63458.0	0.0008982319014151092
Kenya	38	42749.0	0.0008889096820978268
Sri Lanka	18	21224.0	0.0008480964945344892
Nepal	26	31011.0	0.00083841217632453
Ecuador	12	14865.0	0.0008072653884964682
Vietnam	71	89730.0	0.0007912626769196479
Mauritius	1	1314.0	0.00076103500761035
Zimbabwe	9	13014.0	0.0006915629322268327
Oman	2	2904.0	0.0006887052341597796
Czech Republic	7	10566.0	0.0006625023660798789
Germany	52	81991.0	0.0006342159505311559
Kazakhstan	10	16381.0	0.0006104633416763323
Hungary	6	9950.0	0.0006030150753768845
Austria	5	8429.0	0.0005931901767706727
Malaysia	17	29322.0	0.0005797694563808744
Pakistan	104	179951.0	0.0005779351045562403
Moldova	2	3519.0	0.0005683432793407218
Papua New Guinea	4	7170.0	0.0005578800557880056
Finland	3	5403.0	0.000555247084952804
Philippines	53	96471.0	0.0005493878989540898
Somalia	5	9797.0	0.0005103603143819537
Sudan	23	45722.0	0.0005030401119811032
Lebanon	2	4292.0	0.00046598322460391424
Algeria	16	36486.0	0.00043852436551005867
Thailand	30	69892.0	0.00042923367481256797
Mali	7	16319.0	0.0004289478521968258
Benin	4	9352.0	0.000427715996578272
Azerbaijan	4	9421.0	0.0004245833775607685
Chad	5	11831.0	0.00042261854450173275
Sweden	4	9495.0	0.00042127435492364404
South Africa	21	50738.0	0.0004138909692932319
Italy	24	60964.0	0.0003936749557115675
Yemen	10	25569.0	0.0003910985959560405
Iraq	13	33703.0	0.00038572233925763286
Malawi	6	15883.0	0.0003777623874582887
Romania	8	21388.0	0.0003740415186085656
Slovakia	2	5480.0	0.000364963503649635
Madagascar	8	21929.0	0.00036481371699575906
Mongolia	1	2844.0	0.00035161744022503517
Morocco	11	32599.0	0.00033743366360931316
Bulgaria	2	7398.0	0.0002703433360367667
China	335	1353601.0	0.0002474879968321536
Niger	4	16644.0	0.0002403268445085316
Liberia	1	4245.0	0.00023557126030624264
Nigeria	39	166629.0	0.0002340528959544857
Central African Republic	1	4576.0	0.00021853146853146853
Belarus	2	9527.0	0.00020992967355935762
India	244	1258351.0	0.00019390456239952127
Syria	4	21118.0	0.00018941187612463303
Tanzania	8	47656.0	0.00016786973308712439
Myanmar	8	48724.0	0.0001641901321730564
Japan	20	126435.0	0.00015818404713884604
Laos	1	6374.0	0.00015688735487919673
Libya	1	6469.0	0.0001545833977430824
Afghanistan	5	33397.0	0.00014971404617181183
Cameroon	3	20469.0	0.0001465630954125751
Indonesia	35	244769.0	0.00014299196385163154
Tajikistan	1	7079.0	0.00014126289023873428
Poland	5	38317.0	0.0001304903828587833
Burundi	1	8749.0	0.00011429877700308607
Uzbekistan	2	28077.0	7.123268155429712e-05
Burkina Faso	1	17482.0	5.720169317011784e-05
Iran	4	75612.0	5.2901655821827224e-05
Ethiopia	4	86539.0	4.622193461907348e-05
Mozambique	1	24475.0	4.0858018386108277e-05
Turkey	2	74509.0	2.684239487847106e-05
Bangladesh	3	152409.0	1.9683876936401395e-05
