country	reports	Population_2012	reports_country_percap
Bhutan	14	750.0	0.018666666666666668
Marshall Islands	1	56.0	0.017857142857142856
Samoa	3	185.0	0.016216216216216217
United States	4642	315791.0	0.014699595618621176
Qatar	28	1939.0	0.01444043321299639
Sierra Leone	88	6126.0	0.01436500163238655
New Zealand	56	4461.0	0.012553239184039453
Iceland	4	328.0	0.012195121951219513
Dominican Republic	124	10183.0	0.012177158008445448
Honduras	95	7912.0	0.012007077856420627
Canada	396	34675.0	0.011420331651045421
El Salvador	68	6264.0	0.010855683269476373
Guinea	90	10481.0	0.008586966892472092
Paraguay	55	6683.0	0.00822983689959599
Cuba	78	11249.0	0.0069339496844163925
Cape Verde	3	505.0	0.005940594059405941
Costa Rica	27	4794.0	0.005632040050062578
Mexico	652	116147.0	0.005613575899506659
United Kingdom	330	62798.0	0.005254944424981687
Israel	40	7695.0	0.005198180636777128
Argentina	206	41119.0	0.005009849461319584
Uganda	178	35621.0	0.004997052300609191
Malta	2	419.0	0.00477326968973747
Greece	51	11419.0	0.004466240476398984
Jamaica	12	2761.0	0.004346251358203549
Portugal	45	10699.0	0.0042060005608000745
Swaziland	5	1220.0	0.004098360655737705
Australia	92	22919.0	0.00401413674244077
Ireland	18	4579.0	0.003930989298973575
Switzerland	30	7734.0	0.003878975950349108
Panama	14	3625.0	0.0038620689655172414
Gambia	7	1825.0	0.0038356164383561643
Estonia	5	1340.0	0.0037313432835820895
Barbados	1	275.0	0.0036363636363636364
Chile	63	17423.0	0.0036159100040176776
Fiji	3	876.0	0.003424657534246575
Mauritania	12	3623.0	0.0033121722329561135
Haiti	33	10256.0	0.003217628705148206
Bolivia	30	10248.0	0.002927400468384075
Armenia	9	3109.0	0.002894821486008363
Peru	82	29734.0	0.0027577856998722
Latvia	6	2235.0	0.0026845637583892616
Denmark	15	5593.0	0.0026819238333631325
Russia	375	142703.0	0.002627835434433754
Saudi Arabia	73	28705.0	0.0025431109562793937
Namibia	6	2364.0	0.0025380710659898475
Guinea-Bissau	4	1580.0	0.002531645569620253
Jordan	16	6457.0	0.002477930927675391
Tunisia	26	10705.0	0.0024287716020551142
Egypt	202	83958.0	0.0024059648872055074
Brazil	476	198361.0	0.0023996652567793066
Nicaragua	14	5955.0	0.0023509655751469353
Venezuela	70	29891.0	0.0023418420260279014
Serbia	21	9847.0	0.0021326292271757895
Croatia	9	4387.0	0.0020515158422612263
Netherlands	32	16714.0	0.0019145626420964462
Norway	9	4960.0	0.0018145161290322581
Angola	36	20163.0	0.0017854485939592323
Uruguay	6	3391.0	0.0017693895606015924
Ukraine	75	44940.0	0.0016688918558077437
Kyrgyzstan	9	5448.0	0.0016519823788546256
United Arab Emirates	13	8106.0	0.0016037503084135208
Belgium	17	10788.0	0.0015758249907304412
Albania	5	3227.0	0.0015494267121165168
Spain	72	46772.0	0.0015393825365603352
Singapore	8	5256.0	0.0015220700152207
Bahrain	2	1359.0	0.0014716703458425313
Cambodia	21	14478.0	0.0014504765851636966
Colombia	63	47551.0	0.001324893272486383
Guatemala	20	15138.0	0.001321178491214163
Guyana	1	758.0	0.0013192612137203166
Nepal	40	31011.0	0.001289864886653123
Vietnam	115	89730.0	0.0012816226457149226
Zimbabwe	16	13014.0	0.0012294452128477024
Zambia	17	13884.0	0.0012244309997118986
Germany	95	81991.0	0.0011586637557780733
Kenya	46	42749.0	0.0010760485625394747
France	67	63458.0	0.0010558164455230232
Kuwait	3	2892.0	0.001037344398340249
Ghana	24	25546.0	0.0009394817192515463
Finland	5	5403.0	0.0009254118082546734
Sri Lanka	19	21224.0	0.000895212966453072
Philippines	80	96471.0	0.0008292647531382488
Ecuador	12	14865.0	0.0008072653884964682
Pakistan	139	179951.0	0.0007724324955126673
Mauritius	1	1314.0	0.00076103500761035
Czech Republic	8	10566.0	0.0007571455612341472
China	1005	1353601.0	0.000742463990496461
Austria	6	8429.0	0.0007118282121248073
Hungary	7	9950.0	0.0007035175879396985
Mongolia	2	2844.0	0.0007032348804500703
Oman	2	2904.0	0.0006887052341597796
Kazakhstan	11	16381.0	0.0006715096758439656
Mali	10	16319.0	0.0006127826459954654
Sudan	28	45722.0	0.0006123966580639517
Italy	36	60964.0	0.0005905124335673513
Malaysia	17	29322.0	0.0005797694563808744
Moldova	2	3519.0	0.0005683432793407218
Papua New Guinea	4	7170.0	0.0005578800557880056
Benin	5	9352.0	0.00053464499572284
Iraq	18	33703.0	0.0005340770851259532
Azerbaijan	5	9421.0	0.0005307292219509606
Sweden	5	9495.0	0.000526592943654555
South Africa	26	50738.0	0.0005124364381725728
Somalia	5	9797.0	0.0005103603143819537
Malawi	8	15883.0	0.0005036831832777183
Thailand	34	69892.0	0.0004864648314542437
Liberia	2	4245.0	0.0004711425206124853
Romania	10	21388.0	0.00046755189826070694
Lebanon	2	4292.0	0.00046598322460391424
Algeria	16	36486.0	0.00043852436551005867
Chad	5	11831.0	0.00042261854450173275
Morocco	13	32599.0	0.0003987852388110065
Yemen	10	25569.0	0.0003910985959560405
India	480	1258351.0	0.00038145159816299265
Slovakia	2	5480.0	0.000364963503649635
Madagascar	8	21929.0	0.00036481371699575906
Nigeria	55	166629.0	0.00033007459685889014
Niger	5	16644.0	0.0003004085556356645
Tanzania	14	47656.0	0.0002937720329024677
Syria	6	21118.0	0.00028411781418694954
Bulgaria	2	7398.0	0.0002703433360367667
Japan	32	126435.0	0.00025309447542215367
Central African Republic	1	4576.0	0.00021853146853146853
Indonesia	52	244769.0	0.00021244520343670971
Iran	16	75612.0	0.0002116066232873089
Belarus	2	9527.0	0.00020992967355935762
Cameroon	4	20469.0	0.00019541746055010015
Myanmar	8	48724.0	0.0001641901321730564
Laos	1	6374.0	0.00015688735487919673
Libya	1	6469.0	0.0001545833977430824
Afghanistan	5	33397.0	0.00014971404617181183
Tajikistan	1	7079.0	0.00014126289023873428
Poland	5	38317.0	0.0001304903828587833
Ethiopia	10	86539.0	0.0001155548365476837
Burundi	1	8749.0	0.00011429877700308607
Uzbekistan	2	28077.0	7.123268155429712e-05
Burkina Faso	1	17482.0	5.720169317011784e-05
Mozambique	1	24475.0	4.0858018386108277e-05
Turkey	2	74509.0	2.684239487847106e-05
Bangladesh	3	152409.0	1.9683876936401395e-05
